scheme,component,count_formula,unit_bytes_formula,total_bytes_formula,notes
BaseFold,sumcheck_degree_2_polynomials,3*D,field_bytes,=3*D*field_bytes,"Protocol 4 sends h_D through h_1; each is degree 2"
BaseFold,folded_oracle_roots,D-final_clear,hash_bytes,=(D-final_clear)*hash_bytes,"final_clear=1 if pi_0 is sent directly instead of Merkle committed"
BaseFold,final_base_codeword,N_0,field_bytes,=N_0*field_bytes,"Usually N_0=expansion*k0 and is tiny"
BaseFold,query_leaf_values_optimized,Q_BF*(D+1),field_bytes,=Q_BF*(D+1)*field_bytes,"Top pair plus one sibling per lower layer when values are carried down"
BaseFold,query_leaf_values_no_reuse,2*Q_BF*D,field_bytes,=2*Q_BF*D*field_bytes,"Red-flag literal accounting without path/value reuse"
BaseFold,query_merkle_authentication,Q_BF*SUM_i(LOG2(N_i)),hash_bytes,=Q_BF*SUM_i(LOG2(N_i))*hash_bytes,"Dominant transparent PCS cost"
BaseFold,total_optimized,,,,=SUM(BaseFold rows except no_reuse),"Use with N_i=expansion*k0*2^i"
Blaze,q_raa,CEILING(lambda/-LOG(1-delta_RAA/3,2),1),1,=CEILING(lambda/-LOG(1-delta_RAA/3,2),1),"With lambda=100 and rounded delta_RAA=0.19 strict ceiling is 1060; paper reports 1059"
Blaze,interleaving_vector,t or 2*t,field_bytes,=t*field_bytes,"Lemma 6.1 has 2t+cc(k); Section 8.2 folds this into constant columns"
Blaze,raa_queried_columns,Q_RAA*t,field_bytes,=Q_RAA*t*field_bytes,"Paper explicit dominant term is 1059*8*t bytes"
Blaze,raa_column_merkle_paths,Q_RAA*LOG2(n/t),hash_bytes,=Q_RAA*LOG2(n/t)*hash_bytes,"Paper says 1059 paths for a tree with n/t leaves"
Blaze,inner_basefold_proof,1,basefold_bytes(n/t),=basefold_bytes(n/t),"Reduced PCS proof"
Blaze,small_scalar_overhead,O(LOG2(n)),field_bytes,=O(LOG2(n))*field_bytes,"Non-dominant MLIOP/IOPP scalar traffic"
Blaze,total,,,,=basefold_bytes(n/t)+Q_RAA*t*field_bytes+Q_RAA*LOG2(n/t)*hash_bytes+small_overheads,"Paper shape; t is an explicit input"
Paper Figure 4,BaseFold m=25,1,MB,1.2,"Reported by Blaze paper"
Paper Figure 4,BaseFold m=26,1,MB,1.2,"Reported by Blaze paper"
Paper Figure 4,BaseFold m=27,1,MB,1.4,"Reported by Blaze paper"
Paper Figure 4,BaseFold m=28,1,MB,1.4,"Reported by Blaze paper"
Paper Figure 4,BaseFold m=29,1,MB,1.4,"Reported by Blaze paper"
Paper Figure 4,Blaze m=25,1,MB,1.3,"Reported by Blaze paper"
Paper Figure 4,Blaze m=26,1,MB,1.4,"Reported by Blaze paper"
Paper Figure 4,Blaze m=27,1,MB,2.0,"Reported by Blaze paper"
Paper Figure 4,Blaze m=28,1,MB,2.5,"Reported by Blaze paper"
Paper Figure 4,Blaze m=29,1,MB,3.7,"Reported by Blaze paper"
Paper Figure 4,Blaze m=30,1,MB,3.8,"Reported by Blaze paper"
Paper Figure 4,Blaze m=31,1,MB,6.1,"Reported by Blaze paper"
